text,triplets,relations,definitions
"Brittney Karbowski also voices as Wendy Marvell in Fairy Tail, Mikoto Misaka in A Certain Magical Index and its spinoff, A Certain Scientific Railgun, and Yuri Nakamura in Angel Beats!.","[['Brittney Karbowski', 'character role', 'Mikoto Misaka']]",['character role'],character role: The subject entity provides the voice for the character specified by the object entity in a particular media production.
Werner G. Krebs was initially hired out of high school by the Nobel Laureate James Heckman.,"[['Werner G. Krebs', 'student of', 'James Heckman']]",['student of'],student of: The subject entity is a student or mentee of the person or entity specified by the object entity.
"Like most Turkic languages and Yakut language's ancestral Proto-Turkic, Yakut is an agglutinative language and employs vowel harmony.","[['Yakut language', 'linguistic typology', 'Agglutinative language']]",['linguistic typology'],"linguistic typology: The subject entity is classified under the linguistic typology specified by the object entity, indicating its structural characteristics and grammatical features."
"Plasmopara viticola, the causal agent of grapevine downy mildew, is a heterothallic oomycete that overwinters as oospores in leaf litter and soil.","[['Plasmopara viticola', 'has effect', 'grapevine downy mildew']]",['has effect'],has effect: The subject entity causes or produces an effect represented by the object entity.
"The then 22-year-old Nick Griffin (who became leader of the British National Party in 1999) stood in 1981 Croydon North West by-election's first election in Croydon North West, representing the National Front.","[['1981 Croydon North West by-election', 'candidate', 'Nick Griffin']]",['candidate'],candidate: The subject entity is a person or individual who is running for election or is nominated for a position in the event specified by the object entity.
The server and Haraka ( software )'s plugins are written in JavaScript using the Node.js framework.,"[['Haraka ( software )', 'programming language', 'JavaScript']]",['programming language'],programming language: The subject entity is developed or implemented using the programming language specified by the object entity.
Lysenin is a pore-forming toxin (PFT) present in the coelomic fluid of the earthworm Eisenia fetida.,"[['Lysenin', 'found in taxon', 'Eisenia fetida']]",['found in taxon'],found in taxon: The subject entity is located within or is associated with the taxonomic group specified by the object entity.
"Archaeological Museum of Almyros was built by and belonged to, until the 1950s, by the Othrys, Filarchaeos Etaireia Almyrou, a non-profit local organization found in the beginning of 20th century.","[['Archaeological Museum of Almyros', 'director/manager', 'Organization']]",['director/manager'],director/manager: The subject entity is overseen or managed by the organization specified by the object entity.
"Set in the 24th century, on a Starfleet ship stranded on the opposite side of the Galaxy as Earth, Twisted ( Star Trek : Voyager ) must spend decades to get back because their space drive is too slow to get back faster.","[['Twisted ( Star Trek : Voyager )', 'set in period', '24th century']]",['set in period'],set in period: The subject entity takes place or is situated within the time frame specified by the object entity.
"While some capacitance exists between any two electrical conductors in proximity in a circuit, a capacitor is a component designed to add capacitance to a circuit.","[['Capacitor', 'measured by', 'Capacitance']]",['measured by'],measured by: The subject entity is quantified or evaluated using the measurement specified by the object entity.
A surcoat or surcote initially was an outer garment commonly worn in the Middle Ages by both men and women in Western Europe.,"[['Surcoat', 'time period', 'Middle Ages']]",['time period'],time period: The subject entity was commonly used or associated with the time period specified by the object entity.
"There are two traditional terms used to describe a person involved in falconry: a falconer flies a falcon; an Austringer (French origin) flies a hawk (Accipiter, some buteos and similar) or an eagle (Aquila or similar).","[['Falconry', 'practiced by', 'falconer']]",['practiced by'],practiced by: The subject entity is an activity or discipline that is engaged in or performed by the person or entity specified by the object entity.
"The Cuche Formation is highly fossiliferous; many Placoderm fish fossils, flora, bivalves, arthropods, crustaceans and ostracods have been discovered in the youngest Paleozoic strate of the Floresta Massif, while the underlying Floresta Formation is richer in trilobite biodiversity.","[['Cuche Formation', 'overlies', 'Floresta Formation']]",['overlies'],"overlies: The subject entity is situated above or on top of the object entity in a geological context, indicating a stratigraphic relationship where the subject is younger than the object."
In 1999 Jean-Michel Bazire won the Prix d'Amérique driving Moni Maker.,"[['Jean-Michel Bazire', 'mount', 'Moni Maker']]",['mount'],"mount: The subject entity is the driver or jockey associated with the object entity, which is the horse or vehicle being driven."
"On 22 April 2001, the commander of La Gendarmerie Nationale released a statement in which Massinissa Guermah said that Guermah had been arrested after aggressive behaviour following a theft.","[['Massinissa Guermah', 'killed by', 'Gendarmerie']]",['killed by'],killed by: The subject entity was caused to die by the entity specified as the object.
"Republican candidate Emanuel Lorenz Philipp won the election with 47% of the vote, winning 1918 Wisconsin gubernatorial election's third and last term as Governor of Wisconsin.","[['1918 Wisconsin gubernatorial election', 'office contested', 'Governor']]",['office contested'],"office contested: The subject entity refers to an election in which the specified office, represented by the object entity, is being sought or competed for by candidates."
"From the 13th to the 16th century, Kourim was one of the most important towns in Bohemia, but later Kouřim experienced a decline and a long stagnation.","[['Kouřim', 'historical region', 'Bohemia']]",['historical region'],historical region: The subject entity is associated with or located in the historical region specified by the object entity.
Albinus ( consul 493 ) held the consulship with Flavius Eusebius in 493.,"[['Albinus ( consul 493 )', 'Roman praenomen', 'Flavius'], ['Albinus ( consul 493 )', 'Roman nomen gentilicium', 'Flavius']]","['Roman praenomen', 'Roman nomen gentilicium']","Roman praenomen: The subject entity is associated with the Roman praenomen (given name) specified by the object entity.

Roman nomen gentilicium: The subject entity is associated with the Roman nomen gentilicium (family name) specified by the object entity."
"Labelcode is a unique 4-digit or 5-digit music label identification code that is assigned by Gesellschaft zur Verwertung von Leistungsschutzrechten (GVL), Germany.","[['Labelcode', 'issued by', 'GVL']]",['issued by'],issued by: The subject entity is assigned or provided by the organization or entity specified by the object entity.
"During the war Abel Herzberg remained active in Jewish organizations until he was interned, with his wife, in Bergen-Belsen concentration camp, where his legal background and status as a legal scholar (which made him desirable to the Nazis in a possible exchange for Germans abroad) earned him a seat on a prisoners' court.","[['Abel Herzberg', 'place of detention', 'Bergen-Belsen concentration camp']]",['place of detention'],place of detention: The subject entity was held or confined in the location specified by the object entity.
38083 Rhadamanthus /rædmæns/ is a trans-Neptunian object (TNO).,"[['38083 Rhadamanthus', 'minor planet group', 'Trans-Neptunian object']]",['minor planet group'],minor planet group: The subject entity belongs to the category or classification specified by the object entity.
"A wet-dry qualifying session resulted in a mixed-up grid order, with Giancarlo Fisichella taking the first pole position of 1998 Austrian Grand Prix's career.","[['1998 Austrian Grand Prix', 'pole position', 'Giancarlo Fisichella']]",['pole position'],"pole position: The subject entity refers to a specific race event where the object entity achieved the top starting position, indicating that the individual had the fastest qualifying time."
"Thus, an interrogative sentence is a sentence whose grammatical form shows that it is a question.","[['Interrogative', 'grammatical option indicates', 'Question']]",['grammatical option indicates'],grammatical option indicates: The subject entity's grammatical form signifies or denotes the type of meaning or function specified by the object entity.
"Banalsite was first described in 1944 for an occurrence in the Benallt Mine, Rhiw, Llanfaelrhys, Lleyn Peninsula, Gwynedd (Caernarvonshire), Wales.","[['Banalsite', 'type locality (geology)', 'Benallt mine']]",['type locality (geology)'],"type locality (geology): The subject entity is the specific location where the geological material or mineral was first identified or described, as indicated by the object entity."
Eric Boe flew as the pilot of Space Shuttle missions STS-126 and STS-133.,"[['Eric Boe', 'astronaut mission', 'STS-133'], ['Eric Boe', 'astronaut mission', 'STS-126']]",['astronaut mission'],astronaut mission: The subject entity participated in the specified mission as an astronaut.
Sweet and Low ( musical ) features sketches by David Freedman and songs by various composers and lyricists.,"[['Sweet and Low ( musical )', 'librettist', 'David Freedman']]",['librettist'],librettist: The subject entity is associated with the person specified by the object entity as the writer of the text or script for the musical.
"The G 2/2+2/3 class locomotives differed from Rhaetian Railway G 2 / 2 + 2 / 3's two G 2x2/2 class predecessors, which had been delivered in 1891, in having the additional, non-drive, axle in the rear bogie, thus providing an extra set of wheels, under the driver's cab.","[['Rhaetian Railway G 2 / 2 + 2 / 3', 'total produced', '+2'], ['Rhaetian Railway G 2 / 2 + 2 / 3', 'quantity', '+2']]","['total produced', 'quantity']","total produced: The subject entity refers to the total number of units produced of the specified type or model indicated by the object entity.  
quantity: The subject entity indicates the amount or number of items represented by the object entity."
"Dynein intermediate chain 1, axonemal is a protein that in humans is encoded by the DNAI1 gene.","[['DNAI1', 'encodes', 'Dynein intermediate chain 1, axonemal']]",['encodes'],encodes: The subject entity is responsible for producing or coding the specified protein or molecule represented by the object entity.
The 1988 film Cane Toads: An Unnatural History documented the trials and tribulations of the introduction of cane toads in Australia.,"[['Cane toad', 'invasive to', 'Australia']]",['invasive to'],"invasive to: The subject entity is considered to be an invasive species in the location specified by the object entity, often causing ecological disruption or harm to the local environment."
Mousere elected Ioanna Meletiou as Community President.,"[['Mousere', 'head of government', 'Ioanna Meletiou']]",['head of government'],head of government: The subject entity holds the position of leadership or governance over the community specified by the object entity.
"Hausa people speak the Hausa language, an Afro-Asiatic language of the Chadic group which is the most spoken indigenous African Language.","[['Hausa people', 'native language', 'Hausa language']]",['native language'],native language: The subject entity is the group or community that speaks the language specified by the object entity as their primary or first language.
"Karin 's Face was photographed by Bergman's longtime collaborator and neighbour, Arne Carlsson.","[[""Karin 's Face"", 'director of photography', 'Arne Carlsson']]",['director of photography'],director of photography: The subject entity was photographed or filmed by the person or entity specified by the object entity.
"The ankh is an ancient Egyptian hieroglyphic symbol that was most commonly used in writing and in Egyptian art to represent the word for ""life"" and, by extension, as a symbol of life itself.","[['Ankh', 'symbolizes', 'Life']]",['symbolizes'],symbolizes: The subject entity represents or conveys the meaning of the concept or idea specified by the object entity.
Lower Baker Dam forms a reservoir called Lake Shannon which stretches 7.5 miles (12.1 km) upstream.,"[['Lower Baker Dam', 'reservoir created', 'Lake Shannon']]",['reservoir created'],reservoir created: The subject entity is responsible for the creation of the reservoir specified by the object entity.
"It was the second highest class of the Iron Cross, following the Star of the Grand Cross of the Iron Cross which was given only twice.","[['Grand Cross of the Iron Cross', 'next higher rank', 'Star of the Grand Cross of the Iron Cross']]",['next higher rank'],next higher rank: The subject entity is a rank that is positioned above the rank specified by the object entity in a hierarchical ranking system.
"Paddington 2 received three nominations at the 71st British Academy Film Awards: Outstanding British Film, Best Adapted Screenplay and Best Actor in a Supporting Role, for Grant.","[['Paddington 2', 'RTC film rating', 'A']]",['RTC film rating'],"RTC film rating: The subject entity has been assigned a film rating specified by the object entity, indicating its suitability for different audiences."
"United States v. Shipp, 203 U.S. 563 (1906), was a ruling of the Supreme Court of the United States with regard to a lynching in Chattanooga, Tennessee.","[['United States v. Shipp', 'court', 'Supreme Court of the United States']]",['court'],court: The subject entity is associated with or was adjudicated by the judicial body specified by the object entity.
Northampton (Sywell) Aerodrome has a CAA Ordinary Licence (Number P496) that allows flights for the public transport of passengers or for flying instruction as authorised by the licensee (Sywell Aerodrome Limited).,"[['Sywell Aerodrome', 'place served by transport hub', 'Northampton']]",['place served by transport hub'],place served by transport hub: The subject entity serves as a location that is connected to or facilitated by the transport hub specified by the object entity.
"The Salmson water-cooled aero-engines, produced in France by Société des Moteurs Salmson from 1908 until 1920, were a series of pioneering aero-engines: unusually combining water-cooling with the radial arrangement of their cylinders.","[['Salmson water-cooled aero-engines', 'coolant', 'Water']]",['coolant'],coolant: The subject entity utilizes the specified substance as a cooling agent in its operation or function.
"The Tongva language became extinct in the twentieth century, but a reconstructed form continues to be spoken today.","[['Tongva', 'language used', 'Tongva language']]",['language used'],language used: The subject entity is associated with or utilizes the language specified by the object entity.
The Vajji state is indicated to have been a republic.,"[['Vajji', 'basic form of government', 'Republic']]",['basic form of government'],basic form of government: The subject entity is characterized by the type of governance specified by the object entity.
"The newspaper was founded in 1996 as a sports-only newspaper called The Title, but was soon expanded into a general broadsheet Sunday newspaper with Ireland on Sunday's founder, former County Meath Gaelic football player Liam Hayes, carrying on as editor.","[['Ireland on Sunday', 'newspaper format', 'Broadsheet']]",['newspaper format'],newspaper format: The subject entity represents the format or style of the newspaper specified by the object entity.
Oleg Kokushkin was killed in action when a German bomb struck his command post.,"[['Oleg Kokushkin', 'military casualty classification', 'Killed in action']]",['military casualty classification'],military casualty classification: The subject entity is classified as a military casualty under the specified condition or status indicated by the object entity.
"RawTherapee is written in C++, using a GTK+ front-end and a patched version of dcraw for reading raw files.","[['RawTherapee', 'GUI toolkit or framework', 'GTK']]",['GUI toolkit or framework'],GUI toolkit or framework: The subject entity is developed using the graphical user interface toolkit or framework specified by the object entity.
"Corynebacterium ulcerans is a rod-shaped, aerobic, and gram-positive bacteria.","[['Corynebacterium ulcerans', 'Gram staining', 'Gram-positive bacteria']]",['Gram staining'],"Gram staining: The subject entity is classified based on the Gram staining technique, indicating that it possesses the characteristics of the type specified by the object entity."
VoiceXML is a standard developed by the World Wide Web Consortium (W3C).,"[['VoiceXML', 'standards body', 'World Wide Web Consortium']]",['standards body'],"standards body: The subject entity is associated with or developed by the organization or entity specified by the object entity, which is responsible for creating or maintaining standards in a particular field."
Shinn Ridge was named by the Advisory Committee on Antarctic Names in 2006 in association with Mount Shinn.,"[['Shinn Ridge', 'highest point', 'Mount Shinn']]",['highest point'],highest point: The subject entity is the highest geographical feature or elevation associated with the object entity.
San Lorenzo ( restaurant ) serves Italian cuisine.,"[['San Lorenzo ( restaurant )', 'cuisine', 'Italian cuisine']]",['cuisine'],cuisine: The subject entity offers or specializes in the type of cuisine specified by the object entity.
The medications tamoxifen or raloxifene may be used in an effort to prevent breast cancer in those who are at high risk of developing it.,"[['Breast cancer', 'drug used for treatment', 'Tamoxifen'], ['Breast cancer', 'drug used for treatment', 'Tamoxifen']]",['drug used for treatment'],drug used for treatment: The subject entity is treated or managed using the medication specified by the object entity.
"The federal subjects of Russia, also referred to as the subjects of the Russian Federation (Russian:   , subyekty Rossiyskoy Federatsii) or simply as the subjects of the federation (Russian:   subyekty federatsii), are the constituent entities of Russia, its top-level political divisions according to the Constitution of Russia.","[['Federal subjects of Russia', 'main regulatory text', 'Constitution of Russia']]",['main regulatory text'],main regulatory text: The subject entity is governed or defined by the legal document specified by the object entity.
"The history of ancient Egypt occurred as a series of stable kingdoms, separated by periods of relative instability known as Intermediate Periods: the Old Kingdom of the Early Bronze Age, the Middle Kingdom of the Middle Bronze Age and the New Kingdom of the Late Bronze Age.","[['Ancient Egypt', 'history of topic', 'History of ancient Egypt']]",['history of topic'],history of topic: The subject entity pertains to or is related to the historical narrative or account specified by the object entity.
"While the university is governed by the Yale Corporation, each school's faculty oversees Yale University's curriculum and degree programs.","[['Yale University', 'authority', 'Yale Corporation']]",['authority'],authority: The subject entity is governed or overseen by the entity specified as the object.
Ministry of Petroleum and Energy is led by Minister of Petroleum and Energy Tina Bru (Conservative Party).,"[['Ministry of Petroleum and Energy', 'office held by head of the organization', 'Minister of Petroleum and Energy']]",['office held by head of the organization'],office held by head of the organization: The subject entity is the position or title that is occupied by the individual or entity specified by the object entity within the organization.
Jungholz ([jŋhlts]) is a village in the district of Reutte in the Austrian state of Tyrol that is accessible only via Germany.,"[['Jungholz', 'enclave within', 'Germany']]",['enclave within'],"enclave within: The subject entity is a distinct area that is geographically located within the boundaries of the object entity, often surrounded by it."
"In emigration, Nekrich published Alexander Nekrich's memoirs (1979), wrote The Punished Peoples: The Deportation and Fate of Soviet Minorities at the End of the Second World War (1978), and coauthored, with Mikhail Heller, Utopia in Power: The History of the Soviet Union from 1917 to the Present (1982).","[['Alexander Nekrich', 'allegiance', 'Soviet Union']]",['allegiance'],allegiance: The subject entity is associated with or shows loyalty to the entity specified by the object entity.
"Barathea, sometimes spelled barrathea, is a soft fabric, with a hopsack twill weave giving a surface that is lightly pebbled or ribbed.","[['Barathea', 'fabrication method', 'Twill']]",['fabrication method'],fabrication method: The subject entity is produced or created using the method specified by the object entity.
"CHIN-FM's studios are located on College Street in the Palmerston-Little Italy neighbourhood of Toronto, while its transmitter is located atop the CN Tower.","[['CHIN-FM', 'licensed to broadcast to', 'Toronto']]",['licensed to broadcast to'],licensed to broadcast to: The subject entity is authorized to transmit broadcasts to the location specified by the object entity.
Joust ( video game ) popularized the concept of two-player cooperative gameplay by being more successful at it than its predecessors.,"[['Joust ( video game )', 'game mode', 'Cooperative gameplay']]",['game mode'],game mode: The subject entity features the gameplay style or mode specified by the object entity.
Zhang Enli is represented by Xavier Hufkens gallery and Hauser & Wirth gallery.,"[['Zhang Enli', 'represented by', 'Hauser & Wirth']]",['represented by'],"represented by: The subject entity is associated with or represented by the entity specified by the object entity, typically in a professional or artistic context."
"Stanley Chapman's translation is titled Froth on the Daydream (Rapp & Carroll, 1967), John Sturrock's is called Mood Indigo (Grove Press, 1968), and Brian Harper's is named Foam of the Daze (TamTam Books, 2012).","[['Froth on the Daydream', 'translator', 'Stanley Chapman']]",['translator'],translator: The subject entity is a work that has been translated by the person or entity specified by the object entity.
It's free to download and uses the same pay-per-item model as Angels Online's PC counterparts.,"[['Angels Online', 'distribution format', 'Download']]",['distribution format'],"distribution format: The subject entity is made available in the format specified by the object entity, indicating how it can be accessed or obtained by users."
"Balatan was founded by Don Gregorio Balatan, also Balatan , Camarines Sur's first mayor and founder of the municipality's first school, the Balatan Institute Memorial High School (formerly Balatan Institute).","[['Balatan , Camarines Sur', 'office held by head of government', 'Mayor']]",['office held by head of government'],"office held by head of government: The subject entity is associated with the position or role of head of government, as specified by the object entity."
"Having started the final stage 37 seconds down on race leader Simon Yates (Mitchelton-Scott) in sixth place overall, Soler attacked around halfway into the stage along with compatriot David de la Cruz (Team Sky); the duo joined Omar Fraile (Astana) at the head of the race, and the trio managed to stay clear of the rest of the field by the time 2018 Paris -- Nice reached Nice.","[['2018 Paris -- Nice', 'general classification of race participants', 'David de la Cruz'], ['2018 Paris -- Nice', 'mountains classification', 'Omar Fraile'], ['2018 Paris -- Nice', 'mountains classification', 'David de la Cruz'], ['2018 Paris -- Nice', 'points classification', 'David de la Cruz']]","['mountains classification', 'general classification of race participants', 'points classification']","mountains classification: The subject entity represents a classification in which the object entity is ranked or recognized based on their performance in mountain stages of the race.

general classification of race participants: The subject entity indicates the overall ranking of race participants, with the object entity being one of the competitors included in that classification.

points classification: The subject entity denotes a classification that awards points to participants based on their performance in various stages of the race, with the object entity being a competitor who is ranked within that classification."
"In July, 2015 M.J. Akbar was elected to the Rajya Sabha from Jharkhand.","[['M.J. Akbar', 'electoral district', 'Jharkhand']]",['electoral district'],electoral district: The subject entity was elected from the electoral district specified by the object entity.
"The Welland Canal eclipsed other, narrower canals in the region, such as the Trent-Severn Waterway and, significantly, the Erie Canal (which linked the Atlantic and Lake Erie via New York City and Buffalo, New York) by providing a shorter, more direct connection to Lake Erie.","[['Welland Canal', 'terminus', 'Lake Erie']]",['terminus'],terminus: The subject entity is the endpoint or final destination of the route specified by the object entity.
Battery Moltke was constructed by Organisation Todt for the Wehrmacht during the Occupation of the Channel Islands.,"[['Battery Moltke', 'main building contractor', 'Organisation Todt']]",['main building contractor'],main building contractor: The subject entity was constructed or built by the entity specified as the object.
"The country was a one-party totalitarian dictatorship, run by Mobutu Sese Seko and Zaire's ruling Popular Movement of the Revolution party.","[['Zaire', 'head of state', 'Mobutu Sese Seko']]",['head of state'],head of state: The subject entity is the leader or chief executive of the state specified by the object entity.
The New York Agreement is an agreement signed by the Netherlands and Indonesia regarding the administration of the territory of West New Guinea.,"[['New York Agreement', 'signatory', 'Indonesia'], ['New York Agreement', 'signatory', 'Netherlands']]",['signatory'],signatory: The subject entity is a party that has signed or agreed to the terms of the agreement specified by the object entity.
"Space Shuttle components include the Orbiter Vehicle (OV) with three clustered Rocketdyne RS-25 main engines, a pair of recoverable solid rocket boosters (SRBs), and the expendable external tank (ET) containing liquid hydrogen and liquid oxygen.","[['Space Shuttle', 'powered by', 'RS-25']]",['powered by'],powered by: The subject entity is driven or operated by the energy source or mechanism specified by the object entity.
"Megaclite is about 6 kilometres in diameter, and orbits Jupiter at an average distance of 24,687,000 kilometers in 792.437 days, at an inclination of 150° to the ecliptic (148° to Jupiter's equator), in a retrograde direction and with an eccentricity of 0.308.","[['Megaclite', 'parent astronomical body', 'Jupiter']]",['parent astronomical body'],parent astronomical body: The subject entity is a moon or celestial body that orbits around the astronomical body specified by the object entity.
Roman Catholic Archdiocese of Nueva Segovia is located just beside the Vigan Cathedral.,"[['Roman Catholic Archdiocese of Nueva Segovia', 'cathedral', 'Vigan Cathedral']]",['cathedral'],"cathedral: The subject entity is associated with or is in proximity to the entity specified by the object entity, which is a cathedral."
"Riemann -- Roch theorem relates the complex analysis of a connected compact Riemann surface with the surface's purely topological genus g, in a way that can be carried over into purely algebraic settings.","[['Riemann -- Roch theorem', 'statement describes', 'compact Riemann surface']]",['statement describes'],"statement describes: The subject entity provides an explanation or characterization of the object entity, detailing its properties or significance."
The Brilliance H530 sedan is a mid-size sedan (D) produced by Brilliance Auto positioned above the Brilliance H330 compact sedan.,"[['Brilliance H530', 'brand', 'Brilliance Auto']]",['brand'],brand: The subject entity is associated with or produced by the brand specified by the object entity.
Nore Neset Church is one of the two churches for the Os parish which is part of the Fana prosti (deanery) in the Diocese of Bjørgvin.,"[['Nore Neset Church', 'located in the ecclesiastical territorial entity', 'Fana prosti']]",['located in the ecclesiastical territorial entity'],located in the ecclesiastical territorial entity: The subject entity is situated within the ecclesiastical territorial entity specified by the object entity.
"Due to the huge popularity, success, and longevity of the Pokémon anime series around the world since Ash Ketchum's debut, Ash has gone on to become one of the most well-known and recognizable fictional characters of all-time due to his status as the protagonist of the Pokémon anime.","[['Ash Ketchum', 'narrative role', 'Protagonist']]",['narrative role'],"narrative role: The subject entity plays a specific role in the narrative, as defined by the object entity, indicating the character's function or significance within the story."
"The group was founded by Masa Fukuda in 2001 after One Voice Children 's Choir composed the song ""It Just Takes Love"" for the 2002 Winter Olympics in Salt Lake City, Utah.","[[""One Voice Children 's Choir"", 'musical conductor', 'Masa Fukuda']]",['musical conductor'],"musical conductor: The subject entity is the musical conductor associated with the object entity, indicating the person responsible for directing the musical performance or composition."
"The rhombic triacontahedron is somewhat special in being one of the nine edge-transitive convex polyhedra, the others being the five Platonic solids, the cuboctahedron, the icosidodecahedron, and the rhombic dodecahedron.","[['Rhombic triacontahedron', 'dual to', 'Icosidodecahedron']]",['dual to'],"dual to: The subject entity is the dual polyhedron of the object entity, meaning that the vertices of the subject correspond to the faces of the object, and the faces of the subject correspond to the vertices of the object."
Germany won the final 1-0 via a 20th-minute goal from Lars Stindl to claim 2017 FIFA Confederations Cup Final's first FIFA Confederations Cup title.,"[['2017 FIFA Confederations Cup Final', 'points/goal scored by', 'Lars Stindl']]",['points/goal scored by'],points/goal scored by: The subject entity achieved a specific score or goal as a result of the action performed by the object entity.
"Lake Pieman is a long, narrow lake following the line of the Pieman River from Reece Dam back to Rosebery and the Bastyan Dam.","[['Lake Pieman', 'lake inflows', 'Pieman River']]",['lake inflows'],lake inflows: The subject entity is fed or supplied by the water source specified by the object entity.
"Dobryninskaya was originally named Serpukhovskaya (Russian: ), after the Serpukhovskaya Square.","[['Dobryninskaya', 'interchange station', 'Serpukhovskaya']]",['interchange station'],interchange station: The subject entity serves as an interchange station for the transport system associated with the object entity.
"On the underside of the smooth cap, Cantharellus formosus has gill-like ridges that run down onto its stipe, which tapers down seamlessly from the cap.","[['Cantharellus formosus', 'hymenium type', 'ridges']]",['hymenium type'],"hymenium type: The subject entity possesses a specific type of hymenium, which is characterized by the features described by the object entity."
1974 Paris Open was the 6th edition of the Paris Open (later known as the Paris Masters).,"[['1974 Paris Open', 'sports season of league or competition', 'Paris Masters']]",['sports season of league or competition'],sports season of league or competition: The subject entity represents a specific season or edition of the league or competition specified by the object entity.
"Forsterite is isomorphous with the iron-rich end-member, fayalite.","[['Forsterite', 'solid solution series with', 'Fayalite']]",['solid solution series with'],"solid solution series with: The subject entity is part of a solid solution series that includes the object entity, indicating that they can substitute for each other in a crystal structure due to their similar chemical properties."
"Systolic heart murmurs are heart murmurs heard during systole, i.e.","[['Systolic heart murmur', 'biological phase', 'Systole']]",['biological phase'],biological phase: The subject entity occurs or is associated with the biological phase specified by the object entity.
"Tupelo Hardware Co. Inc. is a hardware store in Tupelo, Mississippi, that is credited with selling Elvis Presley's mother, Gladys, his first guitar.","[['Tupelo Hardware', 'significant person', 'Elvis Presley']]",['significant person'],"significant person: The subject entity is associated with or has a notable connection to the person specified by the object entity, often indicating that the subject played a role in the person's life or career."
"2016 Democratic National Convention's running mate, Senator Tim Kaine from Virginia, was confirmed by delegates as the party's nominee for vice president by acclamation.","[['2016 Democratic National Convention', 'speaker', 'Tim Kaine']]",['speaker'],speaker: The subject entity is the individual who speaks or presents at the event or occasion specified by the object entity.
"The term bureaucrat derives from ""bureaucracy"", which in turn derives from the French ""bureaucratie"" first known from the 18th century.","[['Bureaucrat', 'field of this occupation', 'Bureaucracy']]",['field of this occupation'],field of this occupation: The subject entity is associated with or operates within the field or domain specified by the object entity.
The group was created in 1999 by soccer fans from Vancouver and Vancouver Southsiders's greater metropolitan area to support the former Vancouver Whitecaps FC of the D2 Pro League.,"[['Vancouver Southsiders', 'supported sports team', 'Vancouver Whitecaps FC']]",['supported sports team'],supported sports team: The subject entity provides support to the sports team specified by the object entity.
"St Paul 's Cathedral's dedication to Paul the Apostle dates back to the original church on this site, founded in AD 604.","[[""St Paul 's Cathedral"", 'dedicated to', 'Paul the Apostle']]",['dedicated to'],"dedicated to: The subject entity is committed or devoted to the person or entity specified by the object entity, often signifying a formal recognition or honor."
"This means Australian Airlines operated flights for Qantas using its own crew/cost base, but under the Qantas brand.","[['Australian Airlines', 'reward program', 'Qantas']]",['reward program'],reward program: The subject entity offers or is associated with a reward program specified by the object entity.
"On Vulgate's own initiative, he extended this work of revision and translation to include most of the books of the Bible.","[['Vulgate', 'edition or translation of', 'Bible']]",['edition or translation of'],edition or translation of: The subject entity is a specific edition or translation of the work specified by the object entity.
"Rivers was asked to open the Whisky a Go Go nightclub in Los Angeles starting January 15, 1964 and during that run At the Whisky à Go Go recorded the album.","[['At the Whisky à Go Go', 'recorded at', 'Whisky a Go Go']]",['recorded at'],recorded at: The subject entity produced or created a recording at the location specified by the object entity.
"Regularly held in July of each year, Fantasia International Film Festival is valued by both hardcore genre film fans, and distributors, who take advantage of the eclectic line up to select foreign and domestic films for release across North America.","[['Fantasia International Film Festival', 'month of the year', 'July']]",['month of the year'],month of the year: The subject entity occurs or is held in the month specified by the object entity.
"Ugoff is a fictional character, played by actor Daniel Raymont, in a 2004 ad campaign for Burger King directed by Roman Coppola with music composed by Devo singer Mark Mothersbaugh.","[['Ugoff', 'advertises', 'Burger King']]",['advertises'],"advertises: The subject entity promotes or endorses the product, service, or brand specified by the object entity."
"For Chung Sze-yuen's seniority in the Hong Kong political arena, he was nicknamed the ""Great Sir"" and ""Godfather of Hong Kong politics"".","[['Chung Sze-yuen', 'permanent resident of', 'Hong Kong']]",['permanent resident of'],permanent resident of: The subject entity is a permanent resident in the location specified by the object entity.
"Deer Park , California is in the Pacific time zone.","[['Deer Park , California', 'located in time zone', 'Pacific Time Zone']]",['located in time zone'],located in time zone: The subject entity is situated within the time zone specified by the object entity.
Bundesautobahn 66 became an autobahn in 1965.,"[['Bundesautobahn 66', 'highway system', 'Autobahn']]",['highway system'],highway system: The subject entity is part of or belongs to the highway system specified by the object entity.
"If the graph is not connected, then Kruskal 's algorithm finds a minimum spanning forest (a minimum spanning tree for each connected component).","[[""Kruskal 's algorithm"", 'solves', 'Minimum spanning tree']]",['solves'],solves: The subject entity provides a solution or method for achieving the outcome specified by the object entity.
"1974 -- 75 San Diego Conquistadors season soon renamed the team, becoming the San Diego Sails.","[['1974 -- 75 San Diego Conquistadors season', 'season of club or team', 'San Diego Sails']]",['season of club or team'],season of club or team: The subject entity represents a specific season during which the club or team specified by the object entity was active or competed.
"This is one of the several court portraits made by Velázquez on different occasions of Infanta Margaret Theresa who, at fifteen, married Infanta Margarita Teresa in a Blue Dress's uncle, Leopold I, Holy Roman Emperor.","[['Infanta Margarita Teresa in a Blue Dress', 'exhibition history', 'Velázquez']]",['exhibition history'],exhibition history: The subject entity has a documented history of being displayed or exhibited in relation to the object entity.
